count(twitterstatusid),userid
1,17
1,221
1,997
3211,6204
1,12497
1,64113
3,666893
1,755312
4,787012
1,997101
1,1350411
1,1380901
1,1449701
1,1469261
1,1652541
1,1914301
1,2059811
3218,2063181
1,2565021
1,2647511
1,3761241
1,3825791
1,4611831
1,4630221
1,5407582
1,5446022
1,5711662
1,5938472
8,5950272
1,6155602
1,6318672
1,6464612
1,6469092
1,6516132
1,6529402
1,6558032
3201,6872422
1,6959082
1,7018152
1,7574552
1,7603032
1,7792302
1,7932042
1,8181592
1,8332612
1,8367932
1,8395482
4,8839122
1,8957852
1,9300262
2,9383442
1,9502082
1,9772412
1,9802572
3,9840002
2,9953462
1,10107052
1,10189332
1,10207502
1,10299682
1,10402702
1,10963942
2,10971502
1,11050942
1,11284752
4,11423952
1,11585882
3132,11619202
1,11816852
1,11905382
1,11954232
5,11966392
2,11994992
1,12193532
2,12610772
2,12626212
1,12731162
2,12896172
3,12903462
1,12922462
1,12962522
3,13018052
1,13116372
1,13233872
1,13525692
1,13596532
1,13753392
1,13850422
1,14098778
1,14103834
1,14106880
1,14112906
1,14127626
1,14131701
1,14162258
1,14166065
1,14184699
2,14202038
1,14241527
1,14247924
1,14259241
1,14272100
1,14303381
7,14306228
1,14365762
1,14400183
1,14403314
2,14427663
1,14431842
1,14439396
1,14441520
3216,14465607
2,14521926
1,14532389
1,14537953
2,14543487
1,14544496
2,14552078
4,14563368
1,14563376
1,14564907
1,14585689
5,14588263
1,14591141
1,14604158
1,14616610
1,14617605
1,14677769
1,14697575
1,14702842
1,14757369
2,14763734
1,14764149
1,14784892
1,14804221
1,14827248
1,14829859
1,14842431
1,14852350
1,14879097
1,14904723
1,14930609
2,14933230
1,14967981
1,14982297
1,15027207
1,15059708
1,15064966
1,15077186
1,15081182
1,15083775
1,15099054
1,15129460
1,15136150
4,15153236
1,15178765
4,15184162
4,15195038
1,15244504
1,15248759
1,15290730
2,15293096
6,15294551
1,15301830
1,15343309
1,15371083
1,15389808
1,15409871
1,15452937
1,15454871
3,15501305
1,15578945
4,15613677
1,15616963
1,15648567
1,15659311
2,15662389
7,15700729
3,15709577
1,15731610
1,15750149
1,15774669
1,15789715
1,15795580
1,15806422
1,15844056
1,15863909
1,15891116
1,15895661
1,15897290
4,15906188
1,15907600
2,15909404
1,15933655
1,15938936
1,15941056
1,15962743
